Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat-e parrainé-e;Date de publication
M;PLOUHINEC;Albert;Maire;Cesson-Sévigné;Ille-et-Vilaine;FILLON François;01/03/2017
M;PLUMERAND;Jean;Maire;Les Champeaux;Orne;FILLON François;01/03/2017
Mme;POIRIER;Nathalie;Conseiller/ère régional-e;Pays de la Loire;Loire-Atlantique;FILLON François;01/03/2017
M;POISSON;Bertrand;Maire;Erceville;Loiret;FILLON François;01/03/2017
Mme;PONCHET-PASSEMARD;Colette;Maire;Marcenat;Cantal;FILLON François;01/03/2017
M;PONS;Claude;Maire;Montlhéry;Essonne;FILLON François;01/03/2017
M;PORET;Fernand;Maire;Commes;Calvados;FILLON François;01/03/2017
Mme;PORTE;Nathalie;Conseiller/ère régional-e;Normandie;Calvados;FILLON François;01/03/2017
Mme;POUCHELON;Elisabeth;Conseiller/ère régional-e;Occitanie;Haute-Garonne;FILLON François;01/03/2017
M;POULLOT;Hubert;Conseiller/ère départemental-e;;Côte-d'Or;FILLON François;01/03/2017
Mme;POUPART;Patricia;Conseiller/ère régional-e;Hauts-de-France;Somme;FILLON François;01/03/2017
Mme;POURDIEU;Brigitte;Maire;Fatouville-Grestain;Eure;FILLON François;01/03/2017
M;POYART;Alain;Président-e d'un conseil de communauté de communes;Coeur de l'Avesnois;Nord;FILLON François;01/03/2017
M;PRADAL;Philippe;Maire;Nice;Alpes-Maritimes;FILLON François;01/03/2017
M;PREDHOMME;Raymond;Maire;Erloy;Aisne;FILLON François;01/03/2017
Mme;PRIMAS;Sophie;Sénateur/trice;;Yvelines;FILLON François;01/03/2017
Mme;PRIMEVERT;Catherine;Conseiller/ère régional-e;Île-de-France;Val-de-Marne;FILLON François;01/03/2017
M;PUECH;Michel;Maire;Montsalvy;Cantal;FILLON François;01/03/2017
Mme;QUILLERY;Christine;Conseiller/ère régional-e;Île-de-France;Hauts-de-Seine;FILLON François;01/03/2017
M;QUINIOU;Christophe;Conseiller/ère métropolitain-e de Lyon;;Rhône;FILLON François;01/03/2017
M;RAGOT;Jean-Marc;Maire;Vernie;Sarthe;FILLON François;01/03/2017
Mme;RAIMOND-PAVERO;Isabelle;Conseiller/ère départemental-e;;Indre-et-Loire;FILLON François;01/03/2017
M;RAMBLIERE;Maurice;Maire;Vivonne;Vienne;FILLON François;01/03/2017
M;RAMDANI;Nesrédine;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;FILLON François;01/03/2017
Mme;RAMPAL;Agnès;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;FILLON François;01/03/2017
M;RAPENEAU;Philippe;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;FILLON François;01/03/2017
M;RAPIN;Jean-François;Sénateur/trice;;Pas-de-Calais;FILLON François;01/03/2017
M;RASLE;René;Maire;Raymond;Cher;FILLON François;01/03/2017
M;RAUSSIN;Bruno;Maire;Fléville;Ardennes;FILLON François;01/03/2017
M;REGNARD;Damien;Membre élu-e de l'assemblée des Français de l'étranger;;Français de l'étranger;FILLON François;01/03/2017
M;REMAUD;Alain;Maire;Le Poiré-sur-Velluire;Vendée;FILLON François;01/03/2017
M;RENARD;Hubert;Maire;Nizy-le-Comte;Aisne;FILLON François;01/03/2017
M;RENARD;Philippe;Maire;Destry;Moselle;FILLON François;01/03/2017
M;REVECHE;Bernard;Maire;Montbazon;Indre-et-Loire;FILLON François;01/03/2017
M;REVET;Charles;Sénateur/trice;;Seine-Maritime;FILLON François;01/03/2017
M;RICHARD;Bernard;Maire;Bassevelle;Seine-et-Marne;FILLON François;01/03/2017
M;RICHARD;Marc;Maire;Mortrée;Orne;FILLON François;01/03/2017
M;RICHEFOU;Olivier;Conseiller/ère départemental-e;;Mayenne;FILLON François;01/03/2017
Mme;RIVAL;Danielle;Conseiller/ère départemental-e;;Loire-Atlantique;FILLON François;01/03/2017
Mme;RIVRON;Véronique;Conseiller/ère départemental-e;;Sarthe;FILLON François;01/03/2017
M;ROBIN;Etienne;Maire;Mézériat;Ain;FILLON François;01/03/2017
M;ROCTON;André;Maire;Le Ribay;Mayenne;FILLON François;01/03/2017
M;ROGER;Vincent;Conseiller/ère régional-e;Île-de-France;Paris;FILLON François;01/03/2017
M;ROSO;Emilien;Maire;Allemans-du-Dropt;Lot-et-Garonne;FILLON François;01/03/2017
M;ROSSI;José;Membre de l'assemblée de Corse;Corse;Corse du Sud;FILLON François;01/03/2017
Mme;ROTKOPF;Sophie;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Loire;FILLON François;01/03/2017
M;ROUFFIAC;René;Maire;Perruel;Eure;FILLON François;01/03/2017
M;ROUSSEAU;Christian;Maire;Lédat;Lot-et-Garonne;FILLON François;01/03/2017
Mme;ROUSSEAU;Claire;Maire;Equilly;Manche;FILLON François;01/03/2017
M;ROUSSEL;François;Maire;Neuvic;Dordogne;FILLON François;01/03/2017
Mme;ROUSSEL;Nathalie;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Côte-d'Or;FILLON François;01/03/2017
M;ROUSSEZ;Pierre;Maire;Hénin-sur-Cojeul;Pas-de-Calais;FILLON François;01/03/2017
M;ROUX;Georges;Conseiller/ère départemental-e;;Alpes-Maritimes;FILLON François;01/03/2017
M;ROY;Joseph;Maire;Bretenière (La);Jura;FILLON François;01/03/2017
Mme;ROYER;Chantal;Maire;Ligny-le-Châtel;Yonne;FILLON François;01/03/2017
M;ROYER-PERREAUT;Lionel;Maire d'arrondissement;;Bouches-du-Rhône;FILLON François;01/03/2017
Mme;RUCHETON NEE PIETTON;Béatrice;Conseiller/ère départemental-e;;Seine-et-Marne;FILLON François;01/03/2017
M;SALANSON;Jean-Jacques;Maire;Vauxrenard;Rhône;FILLON François;01/03/2017
M;SALMON;Joël;Maire;Saint-Gourgon;Loir-et-Cher;FILLON François;01/03/2017
M;SANTINI;Jean-Luc;Conseiller/ère régional-e;Île-de-France;Yvelines;FILLON François;01/03/2017
M;SARAZIN;Jean-Claude;Maire;Avelin;Nord;FILLON François;01/03/2017
M;SAUTREY;Patrick;Maire;Monnières;Jura;FILLON François;01/03/2017
M;SAVIN;Michel;Sénateur/trice;;Isère;FILLON François;01/03/2017
M;SAVOIE;Jean;Maire;Pouzay;Indre-et-Loire;FILLON François;01/03/2017
M;SCHELLENBERGER;Raphaël;Maire;Wattwiller;Haut-Rhin;FILLON François;01/03/2017
M;SCHITTLY;Marc;Conseiller/ère départemental-e;;Haut-Rhin;FILLON François;01/03/2017
M;SEGALA;Gérard;Maire;Camboulit;Lot;FILLON François;01/03/2017
Mme;SEGUI;Marie-Christine;Maire;Ormesson-sur-Marne;Val-de-Marne;FILLON François;01/03/2017
M;SELLIER;Gilles;Conseiller/ère départemental-e;;Oise;FILLON François;01/03/2017
M;SENAUX;Philippe;Conseiller/ère départemental-e;;Orne;FILLON François;01/03/2017
M;SERRA;Jean-Pierre;Maire;Chappes;Aube;FILLON François;01/03/2017
M;SERRE;Jean-Marc;Maire;Bourg-Saint-Andéol;Ardèche;FILLON François;01/03/2017
Mme;SIBERTIN-BLANC;Marie-Agnès;Maire;Popian;Hérault;FILLON François;01/03/2017
M;SIFFREDI;Georges;Maire;Châtenay-Malabry;Hauts-de-Seine;FILLON François;01/03/2017
M;SORDI;Michel;Député-e;4e;Haut-Rhin;FILLON François;01/03/2017
M;SORET;Christian;Maire;Grisy-les-Plâtres;Val-d'Oise;FILLON François;01/03/2017
Mme;SOSINSKI;Sandrine;Conseiller/ère départemental-e;;Seine-et-Marne;FILLON François;01/03/2017
M;SOUFFLET;Jacques;Maire;Pontoise-lès-Noyon;Oise;FILLON François;01/03/2017
M;SPAGNOU;Daniel;Maire;Sisteron;Alpes-de-Haute-Provence;FILLON François;01/03/2017
M;STOLF;Denis;Maire;Tréveray;Meuse;FILLON François;01/03/2017
M;STREHAIANO;Luc;Maire;Soisy-sous-Montmorency;Val-d'Oise;FILLON François;01/03/2017
M;STURNI;Claude;Député-e;9e;Bas-Rhin;FILLON François;01/03/2017
M;SUBRINI;Paul;Conseiller/ère départemental-e;;Hauts-de-Seine;FILLON François;01/03/2017
M;SURONNE;Christian;Maire;Auffay;Seine-Maritime;FILLON François;01/03/2017
M;SY;Philippe;Maire;Herleville;Somme;FILLON François;01/03/2017
M;TAITE;Jean-Pierre;Maire;Feurs;Loire;FILLON François;01/03/2017
M;TAMBAY;Patrick;Conseiller/ère départemental-e;;Alpes-Maritimes;FILLON François;01/03/2017
M;TATIN;Emile;Maire;Vimarcé;Mayenne;FILLON François;01/03/2017
M;TAUGOURDEAU;Jean-Charles;Député-e;3e;Maine-et-Loire;FILLON François;01/03/2017
M;TEISSIER;Guy;Député-e;6e;Bouches-du-Rhône;FILLON François;01/03/2017
M;TENAILLON;Bernard;Maire;Faverois;Territoire de Belfort;FILLON François;01/03/2017
M;TERRAIL-NOVES;Vincent;Maire;Balma;Haute-Garonne;FILLON François;01/03/2017
M;TERROT;Michel;Député-e;12e;Rhône;FILLON François;01/03/2017
M;TETARD;Ghislain;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;FILLON François;01/03/2017
M;TETART;Jean-Marie;Député-e;9e;Yvelines;FILLON François;01/03/2017
M;TEULET;Michel;Maire;Gagny;Seine-Saint-Denis;FILLON François;01/03/2017
M;THEVENOT;Pascal;Maire;Vélizy-Villacoublay;Yvelines;FILLON François;01/03/2017
M;THIL;Patrick;Conseiller/ère régional-e;Grand Est;Moselle;FILLON François;01/03/2017
Mme;THOMAS;Claudine;Conseiller/ère régional-e;Île-de-France;Seine-et-Marne;FILLON François;01/03/2017
M;THOMAS;Marc;Maire;Moulle;Pas-de-Calais;FILLON François;01/03/2017
Mme;THOMAS;Maryse;Maire;Vallières;Aube;FILLON François;01/03/2017
M;TONDEREAU;Alain;Maire;Herbault;Loir-et-Cher;FILLON François;01/03/2017
Mme;TONNERRE;Marie;Maire;Neuville-en-Ferrain;Nord;FILLON François;01/03/2017
M;TORCHE;Didier;Maire;Cormes;Sarthe;FILLON François;01/03/2017
Mme;TORRES;Sandra;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;FILLON François;01/03/2017
M;TOUGARD;Serge;Conseiller/ère régional-e;Normandie;Calvados;FILLON François;01/03/2017
M;TOULOUSE;André;Maire;Roissy-en-France;Val-d'Oise;FILLON François;01/03/2017
M;TOURNIER;Henri-Victor;Maire;Le Biot;Haute-Savoie;FILLON François;01/03/2017
M;TRAVERSE;Michel;Maire;Espaon;Gers;FILLON François;01/03/2017
M;TRIBOULET;Pierre;Maire;Rix-Trebief;Jura;FILLON François;01/03/2017
M;TRILLARD;André;Sénateur/trice;;Loire-Atlantique;FILLON François;01/03/2017
M;TROTTET;André;Maire;Villeneuve-en-Perseigne;Sarthe;FILLON François;01/03/2017
Mme;TROUVE;Claire;Conseiller/ère départemental-e;;Calvados;FILLON François;01/03/2017
M;TUDELA;Henri;Maire;Santenay;Côte-d'Or;FILLON François;01/03/2017
Mme;VAGNIER;Nicole;Maire;Lentilly;Rhône;FILLON François;01/03/2017
M;VALENCE;David;Conseiller/ère régional-e;Grand Est;Vosges;FILLON François;01/03/2017
M;VALLEE;Thierry;Conseiller/ère départemental-e;;Cher;FILLON François;01/03/2017
Mme;VALLETON;Martine;Maire;Villepinte;Seine-Saint-Denis;FILLON François;01/03/2017
Mme;VANHERSEL LAPORTE;Valérie;Conseiller/ère régional-e;Hauts-de-France;Nord;FILLON François;01/03/2017
M;VANOYE;Jacques;Maire;Herbécourt;Somme;FILLON François;01/03/2017
M;VARLIETTE;Pierre;Maire;Saint-Laurent-de-Chamousset;Rhône;FILLON François;01/03/2017
M;VASSANT;Philippe;Maire;Roisel;Somme;FILLON François;01/03/2017
Mme;VENDOME;Jeannine;Maire;Bouër;Sarthe;FILLON François;01/03/2017
M;VENOT;Alain;Maire;Châteaudun;Eure-et-Loir;FILLON François;01/03/2017
M;VERFAILLIE;Jean-Noël;Conseiller/ère départemental-e;;Nord;FILLON François;01/03/2017
M;VIALATTE;Jean-Sébastien;Député-e;7e;Var;FILLON François;01/03/2017
M;VIDAL;André;Maire;Aleu;Ariège;FILLON François;01/03/2017
M;VIENET;Michel;Conseiller/ère départemental-e;;Doubs;FILLON François;01/03/2017
Mme;VIERLING;Catherine;Conseiller/ère régional-e;Grand Est;Moselle;FILLON François;01/03/2017
M;VIGNARD;Daniel;Maire;Savigneux;Ain;FILLON François;01/03/2017
M;VIGNERON;Jacques;Maire;Marsat;Puy-de-Dôme;FILLON François;01/03/2017
M;VILLAIN;Henri;Maire;Ceaux-en-Loudun;Vienne;FILLON François;01/03/2017
M;VILLAIN;Stéphane;Conseiller/ère départemental-e;;Charente-Maritime;FILLON François;01/03/2017
M;VILLEDEY;Michel;Maire;Thorigné-d'Anjou;Maine-et-Loire;FILLON François;01/03/2017
M;VINCENT;Dominique;Maire;Saint-Siffret;Gard;FILLON François;01/03/2017
M;VIROULAUD;Rémy;Conseiller/ère départemental-e;;Haute-Vienne;FILLON François;01/03/2017
M;VOGEL;Jean-Pierre;Sénateur/trice;;Sarthe;FILLON François;01/03/2017
M;VOUIN;Jean-Pierre;Maire;Stuckange;Moselle;FILLON François;01/03/2017
M;WADEL;Arnaud;Maire;Lartigue;Gers;FILLON François;01/03/2017
M;WEBER;Joseph;Maire;Dabo;Moselle;FILLON François;01/03/2017
M;WEISBECKER;Jean;Maire;Wingen;Bas-Rhin;FILLON François;01/03/2017
M;WILLAUME;Ludwig;Conseiller/ère départemental-e;;Calvados;FILLON François;01/03/2017
M;WOJCIECHOWSKI;André;Maire;Saint-Avold;Moselle;FILLON François;01/03/2017
Mme;YVARD;Séverine;Conseiller/ère départemental-e;;Orne;FILLON François;01/03/2017
M;ZIOLKOWSKI;Michel;Maire;Bailleul-Sir-Berthoult;Pas-de-Calais;FILLON François;01/03/2017
M;LECOEUR;Marc;Maire;La Bourdinière-Saint-Loup;Eure-et-Loir;GORGES Jean-Pierre;01/03/2017
M;COLONNA;Paul-Joseph;Maire;Guagno;Corse du Sud;GUAINO Henri;01/03/2017
M;HOURDIN;Arnaud;Maire;Rennemoulin;Yvelines;GUAINO Henri;01/03/2017
M;ALARY;Damien;Conseiller/ère régional-e;Occitanie;Gard;HAMON Benoît;01/03/2017
Mme;AMBROSIN-CHINI;Nathalie;Conseiller/ère départemental-e;;Moselle;HAMON Benoît;01/03/2017
M;AUCOUTURIER;Alex;Maire;Saint-Yrieix-les-Bois;Creuse;HAMON Benoît;01/03/2017
M;AVIRAGNET;Joël;Maire;Encausse-les-Thermes;Haute-Garonne;HAMON Benoît;01/03/2017
M;BALLAY;Alain;Député-e;1er;Corrèze;HAMON Benoît;01/03/2017
Mme;BARC;Magali;Conseiller/ère départemental-e;;Vienne;HAMON Benoît;01/03/2017
M;BARO;Hervé;Conseiller/ère départemental-e;;Aude;HAMON Benoît;01/03/2017
M;BARTHAS;Stéphane;Maire;Salsigne;Aude;HAMON Benoît;01/03/2017
M;BENEDIC;Fabien;Conseiller/ère départemental-e;;Val-d'Oise;HAMON Benoît;01/03/2017
M;BENOIST;Thierry;Maire;Thoré-la-Rochette;Loir-et-Cher;HAMON Benoît;01/03/2017
M;BETENFELD;Gérard;Conseiller/ère départemental-e;;Puy-de-Dôme;HAMON Benoît;01/03/2017
M;BLIN;Jean-Claude;Conseiller/ère départemental-e;;Indre;HAMON Benoît;01/03/2017
Mme;BONJEAN;Elisabeth;Maire;Dax;Landes;HAMON Benoît;01/03/2017
M;BONNEAU;Norbert;Maire;Brie;Deux-Sèvres;HAMON Benoît;01/03/2017
M;BOUAD;Denis;Conseiller/ère départemental-e;;Gard;HAMON Benoît;01/03/2017
Mme;BOUCHOUX;Corinne;Sénateur/trice;;Maine-et-Loire;HAMON Benoît;01/03/2017
Mme;BOUILLE;Marie-Odile;Député-e;8e;Loire-Atlantique;HAMON Benoît;01/03/2017
M;BOUJLILAT;Hicham;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Nièvre;HAMON Benoît;01/03/2017
M;BRIANCON;Philippe;Conseiller/ère régional-e;Occitanie;Haute-Garonne;HAMON Benoît;01/03/2017
M;BRICOUT;Jean-Louis;Député-e;3e;Aisne;HAMON Benoît;01/03/2017
M;BROUSSE;Michel;Maire;Salles-sur-l'Hers;Aude;HAMON Benoît;01/03/2017
M;BRUNEL;Serge;Maire;Conilhac-Corbières;Aude;HAMON Benoît;01/03/2017
M;BRUNO;Yves;Maire;Dours;Hautes-Pyrénées;HAMON Benoît;01/03/2017
Mme;BULTEAU;Sylviane;Député-e;2e;Vendée;HAMON Benoît;01/03/2017
M;BUSQUE;Emile;Maire;Citou;Aude;HAMON Benoît;01/03/2017
M;BUSSIERE;Alain;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Puy-de-Dôme;HAMON Benoît;01/03/2017
M;CABANEL;Henri;Sénateur/trice;;Hérault;HAMON Benoît;01/03/2017
M;CAMANI;Pierre;Sénateur/trice;;Lot-et-Garonne;HAMON Benoît;01/03/2017
M;CAMBADELIS;Jean-Christophe;Député-e;16e;Paris;HAMON Benoît;01/03/2017
M;CAMPET;Patrick;Maire;Nassiet;Landes;HAMON Benoît;01/03/2017
M;CASTEL;Alain;Maire;Pointis-de-Rivière;Haute-Garonne;HAMON Benoît;01/03/2017
M;CASTELAIN;Bertrand;Maire;Séricourt;Pas-de-Calais;HAMON Benoît;01/03/2017
Mme;CATHALA;Caroline;Conseiller/ère départemental-e;;Aude;HAMON Benoît;01/03/2017
M;CAUSSE;René;Maire;Pourcharesses;Lozère;HAMON Benoît;01/03/2017
M;CAZANAVE;Philippe;Conseiller/ère départemental-e;;Aude;HAMON Benoît;01/03/2017
M;CHANTRE;Michel;Maire;Simacourbe;Pyrénées-Atlantiques;HAMON Benoît;01/03/2017
M;CHARLES-GUIMPIED;Jean-Pierre;Conseiller/ère régional-e;Centre-Val de Loire;Loir-et-Cher;HAMON Benoît;01/03/2017
Mme;CHARRET-GODARD;Océane;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Côte-d'Or;HAMON Benoît;01/03/2017
M;CHAUSSIN;Max;Maire;Dornes;Nièvre;HAMON Benoît;01/03/2017
M;CHIFFRE;Guy;Maire;Fournes-Cabardès;Aude;HAMON Benoît;01/03/2017
M;COIGNARD;Ronan;Maire;Concoret;Morbihan;HAMON Benoît;01/03/2017
Mme;COLLINET-JUNG;Catherine;Maire;Ancemont;Meuse;HAMON Benoît;01/03/2017
Mme;COUCHOT;Sylvie;Maire;Vauréal;Val-d'Oise;HAMON Benoît;01/03/2017
M;COUNIL;Christophe;Conseiller/ère départemental-e;;Sarthe;HAMON Benoît;01/03/2017
Mme;DARRAS;Zohra;Conseiller/ère départemental-e;;Somme;HAMON Benoît;01/03/2017
Mme;DASPET;Virginie;Membre du Conseil de Paris;;Paris;HAMON Benoît;01/03/2017
M;DAUDIGNY;Yves;Sénateur/trice;;Aisne;HAMON Benoît;01/03/2017
M;DAUVERGNE;Philippe;Maire;Marigny-l'Eglise;Nièvre;HAMON Benoît;01/03/2017
Mme;DE LA GONTRIE;Marie-Pierre;Membre du Conseil de Paris;;Paris;HAMON Benoît;01/03/2017
M;DEGUIN;Didier;Maire;Madranges;Corrèze;HAMON Benoît;01/03/2017
M;DELAFOSSE;Michaël;Conseiller/ère départemental-e;;Hérault;HAMON Benoît;01/03/2017
Mme;DELESSARD;Monique;Maire;Pontault-Combault;Seine-et-Marne;HAMON Benoît;01/03/2017
M;DELUGA;François;Maire;Le Teich;Gironde;HAMON Benoît;01/03/2017
Mme;DENIS;Blandine;Conseiller/ère départemental-e;;Somme;HAMON Benoît;01/03/2017
M;DESCAZEAUX;Ghislain;Conseiller/ère départemental-e;;Tarn-et-Garonne;HAMON Benoît;01/03/2017
M;DESNOUVEAUX;Gilles;Maire;Reynel;Haute-Marne;HAMON Benoît;01/03/2017
M;DEVINAZ;Gilbert Luc;Conseiller/ère métropolitain-e de Lyon;;Rhône;HAMON Benoît;01/03/2017
Mme;DEVOUCOUX;Agnès;Maire;Saint-Germain-des-Bois;Nièvre;HAMON Benoît;01/03/2017
M;DEYRES;Jean-Claude;Maire;Morcenx;Landes;HAMON Benoît;01/03/2017
M;DI MARTINO;Tony;Maire;Bagnolet;Seine-Saint-Denis;HAMON Benoît;01/03/2017
M;DICONNE;Jean-Paul;Maire;Allerey-sur-Saône;Saône-et-Loire;HAMON Benoît;01/03/2017
Mme;DORVAL;Gloria;Conseiller/ère départemental-e;;Landes;HAMON Benoît;01/03/2017
M;DOUSSOT;Guy;Maire;Château-Chinon (Ville);Nièvre;HAMON Benoît;01/03/2017
M;DUCAMP;Yves;Maire;Eyres-Moncube;Landes;HAMON Benoît;01/03/2017
M;DUCHAMBON;Jean;Maire;Saint-Victurnien;Haute-Vienne;HAMON Benoît;01/03/2017
M;DUCOMBS;Patrick;Maire;Sauviac;Gers;HAMON Benoît;01/03/2017
M;DUPRE;Jean-Paul;Maire;Limoux;Aude;HAMON Benoît;01/03/2017
M;EL HASSOUNI;Hamid;Conseiller/ère départemental-e;;Côte-d'Or;HAMON Benoît;01/03/2017
M;ESPINOSA;Patrice;Maire;Izier;Côte-d'Or;HAMON Benoît;01/03/2017
M;ESPITALIER;Jean-Luc;Maire;Saint-André;Tarn;HAMON Benoît;01/03/2017
M;ESPOSITO;Jean-Pierre;Maire;Roquefeuil;Aude;HAMON Benoît;01/03/2017
M;EVEN;Jean-Louis;Maire;La Roche-Derrien;Côtes-d'Armor;HAMON Benoît;01/03/2017
M;FARRE;Régis;Maire;Saint-Lary-Boujean;Haute-Garonne;HAMON Benoît;01/03/2017
M;FERON;Hervé;Maire;Tomblaine;Meurthe-et-Moselle;HAMON Benoît;01/03/2017
M;FICHET;Jean-Luc;Maire;Lanmeur;Finistère;HAMON Benoît;01/03/2017
M;FLACHE;Jérôme;Maire;Nolay;Côte-d'Or;HAMON Benoît;01/03/2017
M;FLAQUIERE;Vincent;Maire;Simeyrols;Dordogne;HAMON Benoît;01/03/2017
M;FONTERAY;Jean-Luc;Maire;Salornay-sur-Guye;Saône-et-Loire;HAMON Benoît;01/03/2017
M;FOURCADE;Michel;Maire;Pierrefitte-sur-Seine;Seine-Saint-Denis;HAMON Benoît;01/03/2017
M;GACHET;Pierre;Maire;Créon;Gironde;HAMON Benoît;01/03/2017
M;GANDILHON;Michel;Maire;Fontanès;Loire;HAMON Benoît;01/03/2017
M;GANEE;Roger;Maire;Saint-Usage;Côte-d'Or;HAMON Benoît;01/03/2017
M;GARDES;Roger;Maire;Saint-Genès-Champanelle;Puy-de-Dôme;HAMON Benoît;01/03/2017
Mme;GAUTHIER;Karine;Conseiller/ère départemental-e;;Pas-de-Calais;HAMON Benoît;01/03/2017
M;GOISNARD;Jacques;Maire;Lanmérin;Côtes-d'Armor;HAMON Benoît;01/03/2017
Mme;GONZALEZ-GRAIL;Ramona;Maire;La Talaudière;Loire;HAMON Benoît;01/03/2017
M;GOUGNOT;Alain;Maire;Farges-en-Septaine;Cher;HAMON Benoît;01/03/2017
Mme;GOUJON;Charlotte;Conseiller/ère départemental-e;;Seine-Maritime;HAMON Benoît;01/03/2017
Mme;GOURJADE;Linda;Député-e;3e;Tarn;HAMON Benoît;01/03/2017
M;GRENIER;Bernard;Maire;Anglade;Gironde;HAMON Benoît;01/03/2017
M;GRICOURT;Marc;Maire;Blois;Loir-et-Cher;HAMON Benoît;01/03/2017
M;GROS;Dominique;Maire;Metz;Moselle;HAMON Benoît;01/03/2017
M;GROSSET;Pierre;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Jura;HAMON Benoît;01/03/2017
M;GUERRE;Jean-Michel;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Allier;HAMON Benoît;01/03/2017
Mme;GUEYE;Marie;Conseiller/ère départemental-e;;Finistère;HAMON Benoît;01/03/2017
M;GUYOLLOT;André;Maire;Ouroux-en-Morvan;Nièvre;HAMON Benoît;01/03/2017
Mme;HENRY;Gabrielle;Conseiller/ère départemental-e;;Hérault;HAMON Benoît;01/03/2017
M;HERITIE;Michel;Maire;Ambarès-et-Lagrave;Gironde;HAMON Benoît;01/03/2017
M;HOULLEY;Eric;Maire;Lure;Haute-Saône;HAMON Benoît;01/03/2017
M;HUSSON;Olivier;Maire;Voinsles;Seine-et-Marne;HAMON Benoît;01/03/2017
M;JIDOUARD;Philippe;Conseiller/ère départemental-e;;Orne;HAMON Benoît;01/03/2017
M;JORON;Romain;Député-e;2e;Somme;HAMON Benoît;01/03/2017
M;JOULOT;Jean-Paul;Maire;Bosroger;Creuse;HAMON Benoît;01/03/2017
Mme;JOUNEAUX-PEDRONO;Elisabeth;Conseiller/ère régional-e;Bretagne;Morbihan;HAMON Benoît;01/03/2017
Mme;KISS;Andréa;Maire;Le Haillan;Gironde;HAMON Benoît;01/03/2017
M;LABAZEE;Georges;Sénateur/trice;;Pyrénées-Atlantiques;HAMON Benoît;01/03/2017
M;LABORDE;Bernard;Maire;Saint-Pardoux-Morterolles;Creuse;HAMON Benoît;01/03/2017
M;LAIGNEL;André;Maire;Issoudun;Indre;HAMON Benoît;01/03/2017
M;LALANDRE;Jean-Marie;Conseiller/ère régional-e;Grand Est;Vosges;HAMON Benoît;01/03/2017
M;LALANNE;Jean-Yves;Maire;Billère;Pyrénées-Atlantiques;HAMON Benoît;01/03/2017
M;LAMBERT;Bernard;Maire;Combronde;Puy-de-Dôme;HAMON Benoît;01/03/2017
M;LANDIER;Samuel;Conseiller/ère départemental-e;;Loire-Atlantique;HAMON Benoît;01/03/2017
Mme;LAPORTE;Martine;Maire;Vidaillat;Creuse;HAMON Benoît;01/03/2017
M;LASSUS;Alain;Maire;Decize;Nièvre;HAMON Benoît;01/03/2017
Mme;LAUNOY;Claudie;Conseiller/ère régional-e;Normandie;Manche;HAMON Benoît;01/03/2017
M;LAVAUD;Henri;Maire;Saint-Méard;Haute-Vienne;HAMON Benoît;01/03/2017
M;LE BOURDON;Stéphane;Conseiller/ère départemental-e;;Finistère;HAMON Benoît;01/03/2017
M;LE BRAS;Olivier;Conseiller/ère régional-e;Bretagne;Finistère;HAMON Benoît;01/03/2017
Mme;LE DISSEZ;Viviane;Député-e;2e;Côtes-d'Armor;HAMON Benoît;01/03/2017
M;LE VOUËDEC;Dominique;Maire;Gâvres;Morbihan;HAMON Benoît;01/03/2017
Mme;LENFANT;Julie;Maire;Chaptelat;Haute-Vienne;HAMON Benoît;01/03/2017
M;LESAGE;Michel;Député-e;1er;Côtes-d'Armor;HAMON Benoît;01/03/2017
M;LOHE;Jean-Charles;Maire;Locmalo;Morbihan;HAMON Benoît;01/03/2017
M;LUTZ;Jacques;Maire;Cambes;Lot;HAMON Benoît;01/03/2017
Mme;MACABIAU;Suzanne;Maire;Miradoux;Gers;HAMON Benoît;01/03/2017
M;MAGNER;Jacques-Bernard;Maire;Charbonnières-les-Vieilles;Puy-de-Dôme;HAMON Benoît;01/03/2017
M;MANABLE;Christian;Sénateur/trice;;Somme;HAMON Benoît;01/03/2017
Mme;MAQUOI;Nathalie;Membre du Conseil de Paris;;Paris;HAMON Benoît;01/03/2017
M;MARCELLAUD;Didier;Maire;Saint-Jean-Ligoure;Haute-Vienne;HAMON Benoît;01/03/2017
M;MARQUIS;Dominique;Maire;Nieurlet;Nord;HAMON Benoît;01/03/2017
M;MARTINEZ;Marcel;Maire;Axat;Aude;HAMON Benoît;01/03/2017
M;MAULBON;Daniel;Maire;Outremécourt;Haute-Marne;HAMON Benoît;01/03/2017
Mme;MCCARRON;Sheila;Conseiller/ère départemental-e;;Rhône;HAMON Benoît;01/03/2017
Mme;METREF;Nadia;Conseiller/ère départemental-e;;Val-d'Oise;HAMON Benoît;01/03/2017
