"Model","Image processor","Sensor format","Sensor type","Sensor manufacturer","Megapixel","Focus points","Metering pixels","Viewfinder coverage","Viewfinder magnification","ISO min","ISO max","LCD monitor","Storage media","Live view","Movie mode","Top continuous shooting speed (frames/sec)","Weight (g)","Dimensions (mm)","Announcement"
"D2H","-","APS-C","JFET-LBCAST","Nikon","4.1","11","1005","100%","0.86x","200","1600","2.5"" 211k dots","CF, MicroDrive","No","No","9","1070","158 × 150 × 86","2003 3Q"
"D1H","-","APS-C","CCD","Sony","2.7","5","1005","96%","0.8x","200","1600","2.0"" 130k dots","CF, MicroDrive","No","No","5","1100","157 × 153 × 86","2001 1Q"
"D800","EXPEED 3","Full-frame","CMOS","Sony","36.3","51","91000","100%","0.7x","100","6400","3.2"" 921k dots","CF, SD","Yes","Yes","4","900","145 × 122 × 81","2012 1Q"
"D700","EXPEED","Full-frame","CMOS","Nikon","12.1","51","1005","95%","0.7x","200","6400","3.0"" 921k dots","CF","Yes","No","5","995","147 × 123 × 77","2008 3Q"
"Df","EXPEED 3","Full-frame","CMOS","Nikon","16.2","39","2016","100%","0.7x","100","12800","3.2"" 921k dots","SD/SDHC/SDXC","Yes","No","5.5","710","144 × 110 × 67","2013 4Q"
"D610","EXPEED 3","Full-frame","CMOS","Sony","24.3","39","2016","100%","0.7x","100","6400","3.2"" 921k dots","SD/SDHC/SDXC (×2)","Yes","Yes","6","760","141 × 113 × 82","2013 3Q"
"D600","EXPEED 3","Full-frame","CMOS","Sony","24.3","39","2016","100%","0.7x","100","6400","3.2"" 921k dots","SD/SDHC/SDXC (×2)","Yes","Yes","5.5","760","141 × 113 × 82","2012 3Q"
"D300S","EXPEED","APS-C","CMOS","Sony","12.3","51","1005","100%","0.94x","200","3200","3.0"" 921k dots","CF, SD, SDHC","Yes","Yes","7","840","147 × 114 × 74","2009 3Q"
"D300","EXPEED","APS-C","CMOS","Sony","12.3","51","1005","100%","0.94x","200","3200","3.0"" 921k dots","CF, MicroDrive","Yes","No","6","825","147 × 114 × 74","2007 3Q"
"D200","-","APS-C","CCD","Sony","10.2","11","1005","95%","0.94x","100","1600","2.5"" 230k dots","CF, MicroDrive","No","No","5","830","147 × 113 × 74","2005 4Q"
"D100","-","APS-C","CCD","Sony","6.1","5","1005","95%","0.8x","200","1600","1.8"" 118k dots","CF, MicroDrive","No","No","3","700","115 × 117 × 81","2002 1Q"
"D7100","EXPEED 3","APS-C","CMOS","Toshiba","24.1","51","2016","100%","0.94x","100","6400","3.2"" 1229k dots","SD/SDHC/SDXC (×2)","Yes","Yes","6","675","135.5 x 106.5 x 76","2013 1Q"
"D7000","EXPEED 2","APS-C","CMOS","Sony","16.2","39","2016","100%","0.94x","100","6400","3.0"" 921k dots","SD/SDHC/SDXC (×2)","Yes","Yes","6","690","132 × 103 × 77","2010 3Q"
"D90","EXPEED","APS-C","CMOS","Sony","12.3","11","420","96%","0.94x","200","3200","3.0"" 921k dots","SD, SDHC","Yes","Yes","4.5","620","132 × 103 × 77","2008 3Q"
"D80","-","APS-C","CCD","Sony","10.2","11","420","95%","0.94x","100","1600","2.5"" 230k dots","SD, SDHC","No","No","3","585","132 × 103 × 77","2006 3Q"
"D70s","-","APS-C","CCD","Sony","6.1","5","1005","95%","0.75x","200","1600","2.0"" 130k dots","CF, MicroDrive","No","No","3","600","140 × 111 × 78","2005 2Q"
"D70","-","APS-C","CCD","Sony","6.1","5","1005","95%","0.75x","200","1600","1.8"" 130k dots","CF, MicroDrive","No","No","3","595","140 × 112 × 79","2004 1Q"
"D5300","EXPEED 4","APS-C","CMOS","Sony","24.1","39","2016","95%","0.82x","100","12800","3.2"" 1037k dots","SD, SDHC, SDXC","Yes","Yes","5","480","125 × 98 × 76","2013 4Q"
"D5200","EXPEED 3","APS-C","CMOS","Toshiba","24.1","39","2016","95%","0.78x","100","6400","3"" 921k dots","SD, SDHC, SDXC","Yes","Yes","5","550","129 × 98 × 78","2012 4Q"
