<table class="metadata plainlinks ambox ambox-content ambox-Refimprove" role="presentation"><tr><td class="mbox-image"><div style="width:52px">[[File:Question book-new.svg|50x40px|alt=]]</div></td><td class="mbox-text"><span class="mbox-text-span">This article '''needs additional citations for [[Wikipedia:Verifiability|verification]]'''.<span class="hide-when-compact"> Please help [//en.wikipedia.org/w/index.php?title=Special:ExpandTemplates&action=edit improve this article] by [[Help:Introduction to referencing/1|adding citations to reliable sources]]. Unsourced material may be challenged and removed.</span>  <small>''(September 2014)''</small><span class="hide-when-compact"></span></span></td></tr></table>
This is a list of devices that run on the [[Symbian platform]] [[mobile operating system]] (Symbian^1, Symbian^2, and Symbian^3), including their proprietary predecessors running on [[Symbian OS]] and [[Symbian OS#Version history|EPOC]].
| [[Sony Ericsson Satio]]
 | Smartphone
 | Sony Ericsson
 |  
 | Symbian^1
 | 9.4
 | EKA2
 | S60 5th Edition, version 5
 | 
|-
| [[Sony Ericsson Vivaz]]
 | Smartphone
 | Sony Ericsson
 |  
 | Symbian^1
 | 9.4
 | EKA2
 | S60 5th Edition, version 5
 | 
|-
| [[Sony Ericsson Vivaz Pro]]
 | Smartphone
 | Sony Ericsson
 |  
 | Symbian^1
 | 9.4
 | EKA2
 | S60 5th Edition, version 5
 | 
|}

==See also==
*[[Series 40]] Nokia [[feature phone]] OS
*[[Series 90 (software platform)]] user interface on top of Symbian
*[[Series 80 (software platform)]] user interface on top of Symbian
*[[List of Android devices]] competing platform
*[[List of Windows Mobile devices]] competing platform
*[[List of iOS devices]] competing platform
*[[UIQ]] user interface on top of Symbian

==References==
<div class="reflist " style=" list-style-type: decimal;">
<references group=""></references></div>
http://www.developer.nokia.com/Community/Wiki/S60_Platform_and_device_identification_codes

==External links==
*[http://symbianpoint.com/devices SymbianPoint Devices] on the websited of the [[SymbianPoint]]
*[http://www.symbian.org/devices Devices] on the websited of the [[Symbian Foundation]]
*[http://symbian60v5.com/ Symbian S^1 & S^3 Devices] on the websited of the Devices

<table class="navbox" style="border-spacing:0"><tr><td style="padding:2px"><table class="nowraplinks collapsible autocollapse navbox-inner" style="border-spacing:0;background:transparent;color:inherit"><tr><th scope="col" class="navbox-title" colspan="2"><div class="plainlinks hlist navbar mini"><ul><li class="nv-view">[[Template:Symbian platform|<span title="View this template" style=";;background:none transparent;border:none;">v</span>]]</li><li class="nv-talk">[[Template talk:Symbian platform|<span title="Discuss this template" style=";;background:none transparent;border:none;">t</span>]]</li><li class="nv-edit">[//en.wikipedia.org/w/index.php?title=Template:Symbian_platform&action=edit <span title="Edit this template" style=";;background:none transparent;border:none;">e</span>]</li></ul></div><div style="font-size:110%">Touch-screen [[Symbian]] phones ''([[Symbian Foundation]])''</div></th></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian^1 models<br/>(S60 5.0)</th><td class="navbox-list navbox-odd hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Nokia 5230|5230]]
*[[Nokia 5233|5233]]
*[[Nokia 5250|5250]]
*[[Nokia 5530 XpressMusic|5530 XpressMusic]]
*[[Nokia 5800 XpressMusic|5800 XpressMusic]]
*[[Nokia C5-03|C5-03]]
*[[Nokia C6-00|C6-00]]
*[[Nokia N97|N97]]
*[[Nokia N97#Nokia N97 Mini|N97 Mini]]
*[[Nokia X6|X6-00]]
*[[Samsung i8910|i8910 Omnia HD]]
*[[Sony Ericsson Satio|Satio]]
*[[Sony Ericsson Vivaz|Vivaz]]
*[[Sony Ericsson Vivaz#Sony Ericsson Vivaz Pro|Vivaz Pro]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian^2 models</th><td class="navbox-list navbox-even hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*Fujitsu: DoCoMo F-06B
*DoCoMo F-07B
*DoCoMo F-08B
*F-10B
*Raku-Raku Phone 7 / Sharp: DoCoMo SH-07B
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian^3 models<br/>(S60 5.2)</th><td class="navbox-list navbox-odd hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Nokia C6-01|C6-01]]
*[[Nokia C7-00|C7-00]]
*[[Nokia C7 Astound|C7 Astound]]
*[[Nokia E7-00|E7-00]]
*[[Nokia N8|N8-00]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian Anna models<br/>(S60 5.2)</th><td class="navbox-list navbox-even hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Nokia 500|500]]
*[[Nokia 702T|702T]]
*[[Nokia 801T|801T]]
*[[Nokia E6|E6-00]]
*[[Nokia Oro|Oro]]
*[[Nokia T7-00|T7-00]]
*[[Nokia X7-00|X7-00]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian Belle models<br/>(S60 5.3)</th><td class="navbox-list navbox-odd hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Nokia 600|600]]
*[[Nokia 603|603]]
*[[Nokia 700|700]]
*[[Nokia 701|701]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Symbian Belle FP1 models<br/>(S60 5.4)</th><td class="navbox-list navbox-even hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Nokia 808 PureView|808 PureView]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Device manufacturers</th><td class="navbox-list navbox-odd hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Fujitsu]]
*[[Nokia]]
*[[Samsung Electronics|Samsung]]
*[[Sharp Corporation|Sharp]]
*[[Sony Ericsson]]
</div></td></tr><tr style="height:2px"><td colspan="2"></td></tr><tr><th scope="row" class="navbox-group">Related</th><td class="navbox-list navbox-even hlist" style="text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"><div style="padding:0em 0.25em">
*[[Comparison of Symbian devices]]
*[[MOAP]]
*[[S60 (software platform)|S60]]
*[[Symbian Foundation]]
*[[Symbian Ltd.]]
*[[UIQ]]
</div></td></tr></table></td></tr></table>



[[Category:Smartphones]]
[[Category:Symbian OS]]
[[Category:Computing comparisons]]
